FIPS,county,state,total.population.est,age.o65y.per,males.100.females.ratio,edu.o25y.high.school.grad.per,edu.o25y.bacherlor.or.higher.per,housing.units.vacant.per,race.white.per,race.black.per,race.native.american.per,race.asian.per,race.pacific.per,race.other.per,race.latino.per,rel.population.total.members.per,work.laborforce.civilian.is.unemployed.per,work.occupation.management.business.science.arts.per,work.occupation.service.per,work.occupation.sales.office.per,work.occupation.natural.ressources.construction.maintenance.per,work.occupation.production.transportation.per,work.class.of.worker.private.per,work.class.of.worker.gov.per,work.class.of.worker.self.employed.per,income.median.est,income.with.social.security.per,insurance.with.insurance.per,poverty.all.people.per,household.average.family.size.est,disability.is.per,residence.1y.ago.same.county.per,place.of.birth.foreign.per,foreign.born.place.latin.america.per,language.spoken.at.home.english.only.per,geo.density.population.ratio,geo.density.housing.ratio,health.general.practicioner.per.1000.ratio,votes.republicans.per,party.governor,voting.behavior
01001,Autauga County,Alabama,55221,0.136,93.9,0.335,0.232,0.10,0.76,0.19,0.00,0.01,0.00,0.03,0.03,0.476,0.076,0.332,0.17,0.242,0.086,0.171,0.736,0.209,0.055,51281,0.319,0.899,0.129,3.29,0.173,0.905,0.016,0.353,0.967,92.90,37.99,0.29,0.73,Rep,Rep
01003,Baldwin County,Alabama,195121,0.181,95.5,0.288,0.29,0.30,0.83,0.09,0.01,0.01,0.00,0.03,0.04,0.442,0.075,0.331,0.177,0.271,0.108,0.112,0.815,0.123,0.058,50254,0.374,0.87,0.134,3.18,0.138,0.94,0.035,0.582,0.94,122.73,66.94,0.61,0.77,Rep,Rep
01005,Barbour County,Alabama,26932,0.161,116.6,0.345,0.125,0.22,0.46,0.47,0.00,0.00,0.00,0.03,0.05,0.518,0.176,0.268,0.161,0.231,0.108,0.231,0.718,0.208,0.073,32964,0.401,0.845,0.267,3.33,0.23,0.935,0.027,0.748,0.942,30.44,13.35,0.22,0.52,Rep,Rep
01007,Bibb County,Alabama,22604,0.144,114.6,0.421,0.107,0.22,0.75,0.21,0.00,0.00,0.00,0.03,0.02,0.444,0.083,0.215,0.179,0.178,0.19,0.237,0.768,0.161,0.067,38678,0.411,0.903,0.168,3.44,0.145,0.913,0.011,0.737,0.976,36.31,14.41,0.74,0.77,Rep,Rep
01009,Blount County,Alabama,57710,0.166,97.7,0.334,0.129,0.13,0.88,0.02,0.00,0.00,0.00,0.03,0.09,0.373,0.077,0.285,0.141,0.239,0.135,0.199,0.82,0.135,0.042,45813,0.362,0.884,0.167,3.23,0.162,0.953,0.041,0.848,0.928,89.50,37.00,0.19,0.90,Rep,Rep
01011,Bullock County,Alabama,10678,0.146,112.8,0.333,0.139,0.18,0.22,0.71,0.01,0.00,0.00,0.03,0.04,0.633,0.18,0.188,0.15,0.197,0.201,0.264,0.795,0.151,0.054,31938,0.407,0.819,0.246,3.48,0.187,0.952,0.054,0.853,0.96,17.15,7.17,0.09,0.24,Rep,Rep
01013,Butler County,Alabama,20354,0.178,87.6,0.377,0.145,0.19,0.53,0.44,0.00,0.00,0.00,0.02,0.01,0.631,0.109,0.275,0.166,0.219,0.103,0.237,0.774,0.162,0.062,32229,0.412,0.877,0.254,3.14,0.204,0.972,0.007,0.535,0.98,26.20,12.77,0.14,0.56,Rep,Rep
01015,Calhoun County,Alabama,116648,0.155,93.2,0.318,0.175,0.15,0.73,0.20,0.00,0.01,0.00,0.04,0.03,0.561,0.123,0.273,0.177,0.242,0.105,0.204,0.741,0.208,0.05,41703,0.391,0.881,0.205,3.08,0.2,0.928,0.026,0.476,0.957,192.53,87.97,0.35,0.69,Rep,Rep
01017,Chambers County,Alabama,34079,0.18,91.2,0.384,0.116,0.19,0.57,0.40,0.00,0.01,0.00,0.02,0.00,0.719,0.089,0.233,0.145,0.263,0.115,0.244,0.851,0.121,0.028,34177,0.404,0.861,0.216,3.16,0.189,0.949,0.011,0.086,0.99,57.13,28.39,0.18,0.57,Rep,Rep
01019,Cherokee County,Alabama,26008,0.199,99.6,0.364,0.138,0.31,0.92,0.05,0.01,0.00,0.00,0.02,0.02,0.435,0.079,0.293,0.16,0.195,0.137,0.215,0.731,0.185,0.079,36296,0.437,0.901,0.192,2.69,0.224,0.962,0.01,0.161,0.99,46.97,29.33,0.35,0.84,Rep,Rep
